approx_price_EUR,OS,weight_g,weight_oz,GPS_new,primary_cam_MP,secondary_cam_MP,GPU_new,battery_mah,battery_removable,display_resolution_inches,screen_to_body_ratio_%,length_mm,width_mm,brand_idx,price_Range
350.0,1,135.0,4.76,True,8.0,1.3,5,2500.0,True,5.0,63.8,144.0,75.0,2,350
620.0,1,152.6066606544705,4.75924591863177,True,12.0,1.0,5,2500.0,True,5.0,63.8,144.0,75.0,2,800
220.0,1,135.0,4.76,True,8.0,0.0,5,2500.0,True,5.0,63.8,144.0,75.0,2,250
50.0,1,136.0,4.8,True,3.15,0.0,0,1300.0,True,3.5,52.2,114.5,61.0,2,50
280.0,1,143.0,5.04,True,8.0,0.0,5,1800.0,True,4.3,59.6,129.8,68.0,2,300
250.0,1,143.0,5.04,True,8.0,0.0,5,1800.0,True,4.3,59.6,129.8,68.0,2,250
380.0,1,155.0,5.47,True,3.15,0.0,0,1400.0,True,3.5,46.1,119.9,66.0,2,400
150.0,1,150.0,5.29,True,5.0,0.0,5,1500.0,True,4.0,57.3,124.4,63.9,2,150
50.0,1,114.0,4.02,True,2.0,0.0,5,1300.0,True,2.8,38.3,110.0,57.6,2,50
60.0,0,101.0,3.56,False,2.0,0.0,0,1000.0,True,2.4,25.4,115.0,61.0,2,100
50.0,0,76.0,2.68,False,2.0,0.0,0,650.0,True,1.77,23.2,92.5,46.0,2,50
250.0,1,152.6066606544705,4.75924591863177,True,5.0,2.0,5,1800.0,True,4.5,61.3,130.0,70.0,2,250
130.0,1,131.3,4.62,True,3.15,0.0,5,1500.0,True,4.0,57.4,122.0,68.0,2,150
120.0,1,126.0,4.44,True,3.15,0.0,5,1500.0,True,2.6,27.6,117.0,64.8,2,150
60.0,0,93.0,3.28,False,2.0,0.0,0,1000.0,True,2.8,40.2,104.0,58.0,2,100
50.0,0,103.2,3.63,False,3.15,0.0,0,1000.0,True,2.4,25.4,115.0,61.0,2,50
20.0,0,76.0,2.68,False,0.0,0.0,0,650.0,True,2.0,20.5,106.0,58.0,2,50
30.0,0,69.0,2.43,False,0.0,0.0,0,500.0,True,1.5,14.5,109.0,46.0,2,50
60.0,0,88.0,3.1,False,0.0,0.0,0,1000.0,True,1.8,16.4,110.0,56.5,2,100
